chr	start.pos	end.pos
1	6275660	8463947
1	8475658	11146581
1	29863395	33351641
1	36967065	38688661
1	39266081	41503404
1	41532507	44954644
1	45075805	49890304
1	49957337	50129606
1	50332402	50507112
1	50528808	50751946
1	51010637	52811022
1	58177751	59604675
1	59954725	62313987
1	62324460	64931842
1	65099416	71171442
1	71189605	77663669
1	77679808	78580225
1	78582734	85867249
1	85938944	86206997
1	86260767	88059230
1	88284949	89156542
1	89937651	89947564
1	90010038	92020273
1	92334153	92491069
1	92495415	94734759
1	94743497	97961211
1	107172591	107417797
2	86614729	86614729
2	86624809	86758062
2	87114734	88065322
3	3256065	5062030
3	5062500	5808320
3	5834188	6433099
3	20153890	24376706
3	31558689	33256125
3	33295869	34151835
3	34159916	37982820
3	38499908	38944452
3	39838995	42674354
3	42937829	45512046
3	45548241	45775032
3	45777920	46354116
3	46496792	48557713
3	48601446	52090340
3	52199638	52380677
3	52570146	53658855
3	53713124	58992754
3	59022804	59160871
3	59203800	60334297
3	60586393	60915548
3	61164251	61735566
3	61740101	61860018
3	61972019	62454153
3	63266444	65832532
3	65878368	67186831
3	67351191	69755886
3	69886398	71045878
3	71103009	71400777
3	71819862	71893098
3	71940072	72655916
4	3094739	5973740
4	6595932	10471399
4	10531771	13574038
4	13662659	14205025
4	14863784	18970361
4	23422347	25359968
4	25432682	26172751
4	26445623	27095224
4	28235322	29216488
4	29226470	29706528
4	29797720	29932202
4	29951842	31392696
4	31886558	32990153
4	33026717	35326658
4	35479578	39830673
4	40414103	41631562
4	41812225	41854359
4	41874911	44959084
4	45843647	46958595
4	46959216	47368135
4	47394372	51436692
4	51574857	53168266
4	55392057	55615869
4	55986400	57703469
4	58085007	58886975
4	60175204	60609785
4	61135743	61359184
4	61803802	63123949
4	64926030	65003631
4	65016255	66795010
4	67132461	67685128
4	68110709	69495748
4	69537916	73153226
4	73222739	73478230
4	74006656	76972973
4	77186908	79123317
5	3209251	6887439
5	7241809	7940315
5	7958368	8413124
5	8413472	9279911
5	12704323	12741345
5	13509439	15098394
5	15673913	15971671
5	15975864	16002711
5	16069153	16088982
5	16089010	17962302
5	18086300	19262481
5	19910430	20828386
5	20967126	22004873
5	22010881	23387643
5	24022018	24045278
5	24231199	29628225
5	30046676	30876025
5	31125169	31315300
5	31315407	32240611
5	32336992	33066256
5	33113912	34499988
5	36015910	38097403
5	38100465	38109106
5	38109793	39461866
5	39482741	39710485
5	39851426	40076566
5	40191867	40758957
5	40762194	56877660
5	57249040	58100925
5	58267199	58304777
5	58306051	58634009
5	59275521	60538267
5	60538422	60786713
5	61060873	65378221
5	65411740	65434681
5	65445110	66179447
5	66656083	71540863
5	71728279	73063956
5	73828779	74881604
5	74904902	75452900
5	75791781	76474132
5	76605613	76999683
5	77119908	78091191
5	78127738	79754576
5	82047478	83448596
5	83546120	87202137
5	87202553	87295070
5	87300397	88433674
6	3064231	4537930
6	4548994	5122890
6	5125757	5775601
6	5810672	6091462
6	7164092	11544351
6	11748132	13048602
6	13078232	19513299
6	19611278	20629485
6	20699356	26462856
6	26637065	29563238
6	29661567	32798038
6	32804128	34086952
6	37582694	38447259
6	38603339	43469953
6	44291316	45726146
6	46086812	47282909
6	47283396	47773599
6	47788515	51628196
6	51881734	54919438
6	65226575	67202214
6	67391512	69612394
6	69655530	69656567
6	79938817	80532826
7	6139158	8691342
7	8716039	9198346
7	9746636	14862882
7	64850677	67531816
7	67544014	67693502
7	73192481	74978755
7	80114963	80669312
7	80691583	80899197
7	81057844	81603939
7	81609781	82815255
7	82821379	82821379
7	83395161	83493166
8	3317486	4868836
8	5502379	7647248
8	14885413	18227769
8	18274834	18517292
8	18526462	28834497
8	28949037	28949037
8	29185394	40748063
8	40784977	42074086
8	43506079	45391564
8	45514139	47154887
8	47185137	48834558
8	49456457	49853943
8	49915483	53089895
8	53488666	56852268
8	56852778	59011984
8	71293502	71293502
8	71354367	72919323
8	73005125	76244349
9	8460893	11655448
9	12081543	13408980
9	14601448	15157084
9	15370114	18268300
9	18277004	18297542
9	18426689	19762852
9	20449069	20858545
9	21676598	22792189
9	22796970	24624207
9	25528113	27734172
9	28089010	30833722
9	31099759	31240721
9	31242675	33510604
9	33672109	34643956
9	34789262	35243878
9	35447812	36272945
9	36828120	38147401
9	38735149	39413372
9	39650283	40235658
9	40241825	40754436
9	40825619	41781207
9	41868866	42995851
9	43309857	43499099
9	43516134	44453810
9	44475586	44769550
9	44798987	45098049
9	45101165	45726535
9	45740743	45860011
9	45862260	46608200
9	46745923	47801105
9	47808953	49755882
9	49756124	49936368
9	50642110	50717339
9	50881819	54567865
9	54703008	56488243
9	56627640	58187186
9	58452353	59954820
9	59959382	60548171
9	60777980	61237377
9	61576930	61767776
9	61772433	63394299
9	63516071	64407972
10	3473724	9222002
10	9574196	9621339
10	9717357	17102582
10	17132898	20474235
10	20645485	20645587
10	20736128	28330929
10	28425865	31339934
10	31993216	32143649
10	32146785	34537942
10	35220374	36254448
10	36290650	36461134
10	36721861	37884522
10	37953471	38975732
10	38979668	39839740
10	39850839	40377712
10	40427884	42047247
10	42090738	43323990
10	43325888	47682960
10	48052298	48439070
10	50398751	53120405
10	53122267	53812259
10	54029095	57580147
10	57581086	57603566
10	57638938	59103526
10	59348361	61040180
10	62312087	65061683
10	66858970	69135381
10	70293737	72461532
11	4104657	6995910
11	7112476	12104674
11	14627288	14655611
11	14845675	15925161
11	15930625	17366151
11	17487133	17558398
11	17673682	19003716
11	20084188	20386555
11	20386626	23185749
11	23238421	23514911
11	23521577	23951759
11	24179893	24323056
11	24391508	27332499
11	27336295	29827164
11	53281507	53281507
11	54082320	55924390
13	46331484	48206581
13	48458956	50004281
13	55742927	62333407
13	62461692	66158735
14	5280642	6173018
14	25728176	26770284
15	4181488	11616100
15	15119646	15470836
15	15472044	15626473
15	15631532	16756169
15	16862356	17202534
15	17231375	18107706
15	18343166	18872929
15	20502372	23001035
15	64210853	66697284
15	66714569	67042224
16	3016198	4238202
16	4336409	5619936
16	11304734	12018579
16	12053330	12266741
16	12312481	13336581
16	13576680	15254449
16	15578348	16372719
16	16458143	16707863
16	16778593	16789877
16	16851983	17624625
16	17721691	20015298
16	20015330	20090322
16	20204019	22126299
16	22428022	22858029
16	23413218	23413218
16	39950519	44534748
16	56683259	56885206
17	3056276	4121165
17	29122513	29522274
17	29709437	31813837
17	35642462	36370315
17	36688162	39166108
17	39454041	41437167
17	41873924	43209991
17	43410099	43604629
17	43610537	50728366
17	50780174	50784015
17	50785103	50856760
17	51010674	51174503
17	51222926	53016247
17	53673426	54174059
17	54283634	54305580
17	54315642	54743211
17	54743690	54785541
17	54918427	55079908
17	55128819	55630410
17	57519418	58493003
17	58493838	59450461
18	8814975	14214495
18	14216397	20010910
18	20038476	21695909
18	21797951	27841629
18	28348956	29502886
18	29734636	31788191
18	32194396	34346819
18	34483165	36397960
18	36497279	37279491
18	37298394	38148128
18	38154355	38623593
18	38628383	41702343
18	41705314	41846346
18	42060214	42066066
18	42066113	44168654
18	44471296	44586178
18	44641053	46907462
18	46918324	49932189
18	49943521	50996905
18	51130203	51355656
18	51543983	53325523
18	53794228	58555055
18	58569312	58755786
19	7878951	14628108
19	17062435	21219398
19	23358678	24673351
19	24888814	26424743
19	31020289	31781824
19	31927160	32920332
19	33113400	33439620
19	33452700	34342624
19	34362235	35312841
19	35410453	36600192
19	38314566	38659258
19	38755722	39725064
19	39786896	40857762
19	41597239	42239402
19	42293045	47477763
19	47652588	48789684
19	49619278	52739096
20	3355321	9127282
20	9217056	10201146
20	10231753	12494948
20	12708658	21421795
20	21697243	22409982
20	22422657	22576917
20	22780539	23099416
20	23150563	23805431
20	23823039	27506161
20	27616922	31306954
20	32862388	34583090
20	34702344	41232670
20	41235118	41235118
20	41309201	41656074
20	41671610	41672154
20	41731306	41903008
20	47540002	49032768
20	49055387	49228685
20	49253064	49327501
20	49373579	49373579
20	49515428	49783713
20	50018227	51062520
20	51084672	52728548
20	52740244	52791678
20	52816647	54165852
20	54177033	54586530
